The last match: YP eSuba 14 16 10th December 2015
  6.95033e-310 -1
1337  1393.2 40
Egypt  1293.55 5
Turkey  1182.49 8
SuckBrickKids  1188.02 6
Albania  1119.25 2
H2B  1170.14 25
KoNFinland  1129.26 7
Coastless  1128.32 7
NetcodeGuides.com  1156.71 1
RiP  1136.5 2
meltyfe  1087.25 16
VERYT0X1C  1292.93 6
Caseking  1094.15 20
LCStaff  1235.41 12
Control.VP  1253.15 5
SLTV.selectahStaff  1522.55 26
YP  1283.48 32
TJ'SHELTE  1150.12 5
Israel  1165.72 2
TMVG  1194.77 4
SIBWAY  1144.13 2
CSGOCasino.net  1264.98 7
Area51  1154.16 43
naptoR.Factory  1134.46 2
Spectacle.A  1158.69 1
MOTV  1082.08 3
NextGaming  1190.71 2
MoscowFive  1025.14 27
SetToDestroyX  1135.54 15
Goodgame.ruStaff  1207.44 12
KoNNorway  1134.51 11
Puzzle  1360.59 17
Invited  1249.4 2
WebersWarriors  1241.31 1
DenDD  1444.94 37
ARMADA  1248.77 8
Streamline  1244.78 35
FACEITStaff  1150.53 6
7sway  1007.93 18
Penguin  1066.61 4
GirlsGeneration  1144.59 2
Mayhem  1188.63 3
CLG  1350.76 330
xGame.KZ  1062.05 10
ENTiTY  1171.57 4
partyastronauts  1140.04 4
All-StarsNA  1166.79 1
nxl  1194.77 36
WEPLAY  1088.45 4
NightRaid  1183.16 3
Aposis  1069.42 8
Japan  1167.86 3
Morocco  1203.01 5
RGN.tvStaff  1353.5 10
CLGRed  1076.41 20
Immunity  1396.01 87
TSK  1367.86 8
Altitude  1136.32 2
1GAME.uaStaff  1296.91 14
VBMate  1159.96 6
MOB  1228.79 3
OnlineBOTS  1256.58 50
dAT  1346.45 24
autocracy.kr  1292.13 5
Galatics  1078.44 3
Player5  1199.37 2
madjicK  1201.78 2
HD4R  1261.69 12
faithIN  1150.23 2
Atlantis  1226.44 43
Legacy  1281.81 15
ubernoobz  1200 1
webSPELL  1141.68 8
SK  1370.8 196
Liondogs  1171.05 5
Denmark  1291.85 26
NewErafe  1112.88 3
Gamers.com.mtStaff  1113.09 2
Property  1301.38 182
G2A.comStaff  1167.85 2
3DMAXfe  1263.88 9
AnxietyPack  1104.06 4
mouseSpaz  1011.7 46
uPGaming.hellfive  1069.36 6
Eanix  1129.46 3
Unikrn  1093.11 4
RIPFonty  1156.19 10
LoG.kz  1126.62 14
xile  1244.39 6
carboN  1234.85 4
Dynasty  1126.58 12
/r/Globaloffensive  1140.28 10
Slovakia  1249.95 8
iSg.vA  1181.33 3
StormStudioStaff  1149.38 2
dATfe  1168.79 2
Ireland  1201.36 4
Wrecking  1191.64 33
Roca'scompLexity  1257.84 9
Fraglider.ptStaff  1160.02 6
ttc  1335.63 15
CORE  1153.96 1
BLUEJAYS  1113.83 11
Clockwork  1154.83 1
SHAAVEJI  1185.73 6
BornOfFire  1301.15 20
GameplayDNA  1108.05 13
FountainofFire  1101.59 9
Molotov  1164.67 6
ex-Reason  1172 2
LeyHorse  1134.63 3
Incursion  1069.25 21
Nepal  1110.13 2
KaBuM.TD  1261.53 12
Renaissance  1109.82 4
aimface  1286.93 12
EternalConflict  1098.15 5
chosen  1104.46 3
Artyk  1129.72 5
Netherlands  1210.31 9
HotShot  1156.89 1
ReapWhatYouSow  1167.51 11
AnimalSquad  1277.59 9
Aspen  1175.15 1
Vakarm.netStaff  1137.06 6
EZmarket.org  1300.46 6
USSR  1163.89 51
JustMakeitFast  1273.64 1
Leader-1Red  1155.95 5
AVANTGARDE  1065.61 29
All-StarTiger  1192.71 5
TzatzikiKlubben  1268.23 2
Teamless.gg  1133.91 3
Exait  1127.71 2
Boreal  1056.72 7
MostlyHarmless  1088.52 14
Norway  1314.35 38
JSG  1154.03 7
mousesports  1411.74 351
mesport.hu  1063.35 10
UnitedEstonia  1245.62 14
FTW.G2A  1096.68 3
Chile  1231.61 4
INFINITY  1270.24 41
uX  1266.67 67
mySemperFi  1291 8
Refuse  1106.38 8
SriLanka  1080.94 3
QeeYou  1456.04 22
DeadPixels  1265.88 12
VoxEminor  1209.8 23
ex-iBUYPOWER  1372.8 6
MiraculousHawks  1153.96 3
TAKTIKSTATIV  1193.24 4
overGame  1151.28 16
vVv  993.365 39
WMTF  1279.37 6
NoobTubers  1392.9 16
XPC  1088.77 52
aSperia  1107.57 4
TamuluS  1377.34 7
Available!  1219.42 2
Lithuania  1148.82 4
Veneration  1123.46 2
EvidentVictory  1084.17 2
MIRAV3  1248.43 2
All-StarDragon  1207.29 5
Serbia  1107.39 7
Recursive  1171.83 5
Luxembourg  1128.89 2
Sapiens  1123.36 4
Sweden  1362.89 36
volgare  1150.51 93
Insidious  1197.67 11
DelinquentHabits  1219.91 12
LunatiK  1286.71 95
TheMooninites  1134.41 3
Chiefs  1140.96 40
x6tence  1218.31 173
EZonTheSoul  1118.4 6
Liquid  1433.31 340
Virtus.pro  1489.49 473
Austria  1200.87 3
In-Finity  1263.68 2
VexX  1282.87 6
SYF  1104.38 11
HungarianEsportTV  1133.13 6
34united  1156.81 1
SihirdarRehberi  1113.48 2
DSS  1101.98 6
VeloX  1177.39 4
MASSACRE-ZONE  1039.99 6
Why.eSports  1142.89 10
Lucidez  1106 4
Exile5  1104.36 43
XPRESIV'E  1140.9 2
Divine  1135.05 12
OHYEA  1321.2 4
CYGANS  1126.79 2
Belarus  1182.01 7
AbsoluteUnit  1188.67 2
auRa  1104.26 4
BX3  1238.59 38
Acerfe  1204.49 15
Malaysia  1192.05 3
Australia  1335.36 8
TheFlyingV  1340.96 21
Aperture  1129.72 7
Switzerland  1128.37 2
Cloud9  1432.67 289
Virtus.proStaff  1027.13 6
Winterfox  1210.82 326
CSGOEvoWhite  1147.16 9
GGWP  1189.75 45
PUZZLES  1225.71 4
MaxAndRelax  1255.91 21
WickedMM  1286.67 7
MVP.karnal  1264.81 41
Gamerdesk  1162.17 1
FTW.AcaPrinfor  1057.51 5
Bulgaria  1173.08 2
Wyvern  1161.15 2
TRICKED  1285.17 69
Rasta  1150.42 5
stfuNerd  1043.63 15
m0nster  1213.8 13
Tempo  1135.53 30
BZSX  1122.11 2
Orbit  1241.45 148
Libya  1145.08 5
BTY  1181.51 3
MISZCZOWIEGRY  1186.09 3
T5  1214.9 10
roflhehe  1154.91 1
AGT  1147.85 3
RedInstinct  1156.45 9
SinisterGG  1058.92 4
Subzero  1235.34 8
Singapore  1132.78 5
Leader-1  1113 9
Titan  1436.29 349
Rebels  1235.26 26
Vengeance  1100.75 2
AstralAuthority  1236.81 33
Fraternitas  1311.8 111
B2A  1171.44 4
DeathNote  1157.76 2
OVP  1325.86 10
SpaceSoldiers  1308.02 172
eXplosive  1262.41 23
ACES  1152.03 56
SKStaff  1086.24 4
Forbidden  1159.34 4
228  1095.91 4
FUGL?  1089.36 10
WaveForm  1033.92 4
Equilibrium  1171.19 3
KIYF  1105.23 14
BOXR  1122.93 3
KoNSweden  1300.63 11
MMM  1217.8 3
Wizards  1196.76 14
EURONICS  1223.49 10
Torpedo  1281.22 59
Zomblerz  1107.1 3
puta  1220.28 19
Expendables  1049.78 4
JustDealWithIt  1079.37 5
myRevenge  1228.21 26
Skyfire  1017.72 13
fnatic  1571.41 400
IGG  1324.15 12
Forge  1055.55 4
Vault  1180.65 3
INSHOCK  1327.22 56
malefiQ  1111.4 14
ZZCY  1049.87 6
PCBox  1143.08 2
Lemondogs  1154.2 10
Tunisia  1198.8 9
ajuri  1150.33 2
iGamerzfe  1061.21 4
SKDC  1197.68 200
Arcade  1364.19 28
Supreme  1243.78 2
verying  1073.6 7
UESmash  1297.49 6
MALIK  1119.08 8
3sUP  1188.97 176
Phenomenon  1304.34 83
Vination  1137.2 19
NexusStorm  1247.75 9
Liquid8  1125.14 3
NTC  1217.46 7
Levitate  1159.87 3
Fredde  1167.02 1
CeX  1135.76 12
eXtasis  1206.48 3
Canada  1317.91 15
Luminosity  1458.58 163
Elysium  1034.62 4
EnVyUs  1528.42 394
KeydStars  1311.14 27
Groovy  1361.11 9
GoldenVipersB  1076.03 6
